"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "SCSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\legacy\_editor.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 0, 10, 43
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\legacy\_style.scss", "SCSS", 0, 0, 0, 0, 42, 0, 0, 1, 13, 56
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\list\_editor.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 1, 6, 33
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\list\_style.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 1, 9, 45
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\media-text\_editor.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 1, 5, 19
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\media-text\_style.scss", "SCSS", 0, 0, 0, 0, 38, 0, 0, 4, 12, 54
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\navigation\_editor.scss", "SCSS", 0, 0, 0, 0, 34, 0, 0, 0, 12, 46
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\navigation\_style.scss", "SCSS", 0, 0, 0, 0, 101, 0, 0, 1, 27, 129
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\paragraph\_editor.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\paragraph\_style.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 2, 4, 15
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\twentytwentyone\assets\sass\05-blocks\preformatted\_editor.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
